title,address,description,price,contact,images
2 bedroom flat for sale,"Plot 245, The Trinity Block G at Castellum Grange, Mason Road CO1","Bright open plan kitchen/living room,En suite to bedroom 1,Spacious balcony to all plots,Large bathroom with modern fixtures and fittings","215,000", 01206 988902,"https://media.onthemarket.com/properties/14785240/1499731119/image-0-480x320.jpg,https://media.onthemarket.com/properties/14785240/1499731119/image-0-480x320.jpg,https://media.onthemarket.com/properties/14785240/1499731119/image-1-480x320.jpg,https://media.onthemarket.com/properties/14785240/1499731119/image-2-480x320.jpg,https://media.onthemarket.com/properties/14785240/1499731119/image-3-480x320.jpg,https://media.onthemarket.com/properties/14785240/1499731119/image-4-480x320.jpg"
4 bedroom detached house for sale,"Back Drove, Leigh, Sherborne, Dorset, DT9","Tenure: Freehold,4 Bedrooms,No Onward Chain,Glorious Views","1,295,000", 01935 590903,"https://media.onthemarket.com/properties/15318622/1500372676/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-1-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-2-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-3-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-4-480x320.jpg"
4 bedroom detached house for sale,"Westover, Langport, Somerset, TA10","Tenure: Freehold,Immaculate, individually built home,Superb garden and adjoining paddock totalling ~2.50 acres,Ideal, edge of town situation","925,000", 01458 521944,"https://media.onthemarket.com/properties/13702614/1500445023/image-0-480x320.jpg,https://media.onthemarket.com/properties/13702614/1500445023/image-0-480x320.jpg,https://media.onthemarket.com/properties/13702614/1500372597/image-1-480x320.jpg,https://media.onthemarket.com/properties/13702614/1500372597/image-2-480x320.jpg,https://media.onthemarket.com/properties/13702614/1500372597/image-3-480x320.jpg,https://media.onthemarket.com/properties/13702614/1500372597/image-4-480x320.jpg"
Land for sale,"Cad Road, Ilton, Ilminster, Somerset, TA19","Accessed directly off Cad Road,Level lying garden plot,285sqm plot,Road frontage along southern boundary","10,000", 01460 312963,"https://media.onthemarket.com/properties/15318620/1500372556/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318620/1500372556/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318620/1500372556/image-1-480x320.jpg,https://media.onthemarket.com/properties/15318620/1500372556/image-2-480x320.jpg,https://media.onthemarket.com/properties/15318620/1500372556/image-3-480x320.jpg,https://media.onthemarket.com/properties/15318620/1500372556/image-4-480x320.jpg"
2 bedroom detached house for sale,"2 Ardtrasgairt Cottages, Fortingall, Aberfeldy, Perth and Kinross, PH15","2 reception rooms. 2 bedrooms,Traditional cottage with pleasant reception rooms and well proportioned bedrooms,Sunroom with ample natural light and garden access,Lovely private garden with a variety of shrubs and bushes","220,000", 01738 301815,"https://media.onthemarket.com/properties/15318584/1500370921/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318584/1500370921/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318584/1500370921/image-1-480x320.jpg,https://media.onthemarket.com/properties/15318584/1500370921/image-2-480x320.jpg,https://media.onthemarket.com/properties/15318584/1500370921/image-3-480x320.jpg,https://media.onthemarket.com/properties/15318584/1500370921/image-4-480x320.jpg"
8 bedroom detached house for sale,"Millbrae House, Rockcliffe, Dalbeattie, Dumfries and Galloway, DG5","Tenure: Freehold,*VIEWINGS COMMENCE WEDS 31ST JULY*,3 reception rooms. 7 bedrooms,Flexible configuration","630,000", 01556 487991,"https://media.onthemarket.com/properties/15318583/1500370859/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318583/1500370859/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318583/1500370859/image-1-480x320.jpg,https://media.onthemarket.com/properties/15318583/1500370859/image-2-480x320.jpg,https://media.onthemarket.com/properties/15318583/1500370859/image-3-480x320.jpg,https://media.onthemarket.com/properties/15318583/1500370859/image-4-480x320.jpg"
3 bedroom detached bungalow for sale,"Copper Beech Drive, WOLVERHAMPTON","NO UPWARD CHAIN,HIGHLY SOUGHT AFTER ADDRESS OFF GREENHILL,THREE BEDROOM DETACHED BUNGALOW,JUST SHY OF 1/4 OF AN ACRE","500,000", 01902 596717,"https://media.onthemarket.com/properties/15317966/1500362067/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317966/1500362067/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317966/1500362067/image-1-480x320.jpg,https://media.onthemarket.com/properties/15317966/1500362067/image-2-480x320.jpg,https://media.onthemarket.com/properties/15317966/1500362067/image-3-480x320.jpg,https://media.onthemarket.com/properties/15317966/1500362067/image-4-480x320.jpg"
Plot for sale,"Sea Cliff, Strawberry Lane, Penally, Tenby","Tenure: Freehold,1,162 sq ft floor area,Nearest station 0.3mi.,Nearest school 1.2mi.","250,000", 01437 723104,"https://media.onthemarket.com/properties/15310812/1500271618/image-0-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-0-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-1-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-2-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-3-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"The Barley at Together Homes, Underwood Bank YO25","Tenure: Leasehold,£222,000 OMV - (40% Share - £88,800),Rent - £305.25 pm - (Other Shares Are Available),Service Charge - £14.38 pm","65,550", 01924 909890,"https://media.onthemarket.com/properties/13667732/1493235330/image-0-480x320.jpg,https://media.onthemarket.com/properties/13667732/1493235330/image-0-480x320.jpg,https://media.onthemarket.com/properties/13667732/1491212222/image-1-480x320.jpg,https://media.onthemarket.com/properties/13667732/1491212222/image-2-480x320.jpg,https://media.onthemarket.com/properties/13667732/1491212222/image-3-480x320.jpg,https://media.onthemarket.com/properties/13667732/1498390717/image-4-480x320.jpg"
4 bedroom detached house for sale,"Holden at DWH Canal Quarter @ Kingsbrook Burcott Lane, Broughton, Aylesbury HP22","READY TO MOVE INTO NOW | Benefit from a £30,750 deposit contribution,Reserve now and be in your new home for the new school year!,Kitchen with integrated appliances, flooring throughout & fitted wardrobes to the main bedroom,Detached double fronted home with a South facing garden","615,000", 01296 698883,"https://media.onthemarket.com/properties/13666791/1499797412/image-0-480x320.jpg,https://media.onthemarket.com/properties/13666791/1499797412/image-0-480x320.jpg,https://media.onthemarket.com/properties/13666791/1498068300/image-1-480x320.jpg,https://media.onthemarket.com/properties/13666791/1498068300/image-2-480x320.jpg,https://media.onthemarket.com/properties/13666791/1499797412/image-3-480x320.jpg,https://media.onthemarket.com/properties/13666791/1499797412/image-4-480x320.jpg"
2 bedroom apartment for sale,"Westbourne Terrace, Paddington, Lancaster Gate W2","Tenure: Share of freehold,Nearest station 0.1mi.,Nearest school 0.2mi.","875,000", 020 8022 0162,"https://media.onthemarket.com/properties/11526547/1468894285/image-0-480x320.jpg,https://media.onthemarket.com/properties/11526547/1468894285/image-0-480x320.jpg,https://media.onthemarket.com/properties/11526547/1468894285/image-1-480x320.jpg,https://media.onthemarket.com/properties/11526547/1468894285/image-2-480x320.jpg,https://media.onthemarket.com/properties/11526547/1468894285/image-3-480x320.jpg,https://media.onthemarket.com/properties/11526547/1468894285/image-4-480x320.jpg"
Land for sale,"Red Hall Lane, Overton On Dee, Wrexham","33.99 acres (13.75ha) of Accommodation Land,For sale as a whole,Suit Agricultural, Equine or Amenity Uses,Contact our Oswestry office for further information","250,000", 01691 721967,"https://media.onthemarket.com/properties/15317923/1500361815/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317923/1500361815/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317923/1500361815/image-1-480x320.jpg,https://media.onthemarket.com/properties/15317923/1500361815/image-2-480x320.jpg,https://media.onthemarket.com/properties/15317923/1500361815/image-3-480x320.jpg,https://media.onthemarket.com/properties/15317923/1500361815/image-4-480x320.jpg"
House for sale,"Croft land, Armadale","Tenanted croft land,5.9 acres,Mains water available,Electricity pole in field","70,000", 01847 307017,"https://media.onthemarket.com/properties/15317799/1500360218/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317799/1500360218/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317799/1500360218/image-1-480x320.jpg,https://media.onthemarket.com/properties/15317799/1500360218/image-2-480x320.jpg"
4 bedroom end of terrace house for sale,"Ynysmeudwy Road, Ynysmeudwy, Pontardawe, SA8 4QJ","Four Bedrooms,End Terraced Family Home,Stone Double Fronted,Lounge","205,000", 01639 339909,"https://media.onthemarket.com/properties/15317684/1500357694/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317684/1500357694/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317684/1500357694/image-1-480x320.jpg,https://media.onthemarket.com/properties/15317684/1500357694/image-2-480x320.jpg,https://media.onthemarket.com/properties/15317684/1500357694/image-3-480x320.jpg,https://media.onthemarket.com/properties/15317684/1500357694/image-4-480x320.jpg"
